,distance(mi),distance(m),ascent(m),descent(m),slowcalories,slowtime,normalcalories,normaltime,fastcalories,fasttime
sproul_target_A,1.0942046915369996,1760.947378278155,7.799999999999997,49.0,109.67824752851226,32.610136634780645,94.13165670146459,21.740091089853763,102.58641586851348,16.305068317390322
sproul_target_B,1.1662569417355335,1876.9039466126635,8.5,51.3,116.90420086895357,34.7574804928271,100.33388307320567,23.171653661884736,109.34537940980263,17.37874024641355
sproul_court_A,0.8065615360014611,1298.0317423485913,21.400000000000006,34.599999999999994,80.90594943197573,24.037624858307247,69.44622688277312,16.025083238871495,75.6784095749516,12.018812429153623
sproul_court_B,0.7790592258204008,1253.7711744818037,16.60000000000001,29.799999999999997,78.14526570948928,23.21798471262599,67.07629926514574,15.478656475083994,73.09597564025502,11.608992356312996
sproul_powell_A,0.6185484276661037,995.4547265801673,12.399999999999977,33.69999999999999,62.00790193418281,18.434346788521616,53.2194920635115,12.289564525681076,57.99892504302804,9.217173394260808
sproul_powell_B,0.6909017178199411,1111.8957705563441,10.59999999999998,29.89999999999999,69.27622093803478,20.590662417710075,59.45980688705575,13.727108278473384,64.79830312770218,10.295331208855037
sproul_anderson_A,0.4994733680220992,803.8224700926851,6.199999999999989,33.69999999999999,50.03536996404463,14.885601298012686,42.93879274983113,9.923734198675124,46.79815020794055,7.442800649006343
sproul_anderson_B,0.7443905436134198,1197.977477458821,3.40000000000002,30.10000000000001,74.61894422302335,22.18476810108928,64.0425545524348,14.789845400726186,69.79435110490574,11.09238405054464
sproul_public_A,0.786936604396398,1266.448554919299,32.599999999999994,33.69999999999999,78.97829852296105,23.45275101702406,67.79740934381476,15.635167344682705,73.87795306782405,11.72637550851203
sproul_public_B,0.9877018772345725,1589.5481391086869,22.200000000000003,31.200000000000003,99.10029963524279,29.436076650160867,85.06691350261391,19.624051100107245,92.69874104406802,14.718038325080434
rieber_target_A,1.1149448915672786,1794.325411794884,13.700000000000003,54.900000000000006,111.76015695889254,33.228248366571925,95.91888689491986,22.15216557771462,104.53390254568579,16.614124183285963
rieber_target_B,1.1885202526769,1912.7331834430422,14.400000000000006,57.2,119.13897931646603,35.42098487857485,102.25234174221804,23.613989919049903,111.4358634171509,17.710492439287425
rieber_court_A,0.8772824802748704,1411.84578680556,26.900000000000006,40.099999999999994,88.00420518902948,26.14529234825111,75.53967102457348,17.430194898834074,82.31830408067617,13.072646174125556
rieber_court_B,0.8013251905363442,1289.6046821377602,22.500000000000014,35.7,80.38030262091087,23.8815681877363,68.99497869292134,15.921045458490864,75.18670091169346,11.94078409386815
rieber_powell_A,0.6892724200156316,1109.2736764279566,17.899999999999977,39.19999999999999,69.15483213038526,20.542105119036233,59.36156733703136,13.694736746024155,64.68747423250917,10.271052559518116
rieber_powell_B,0.7131650288137762,1147.7250074711626,16.499999999999986,35.8,71.51099960955037,21.25416680502153,61.37826577932573,14.16944453668102,66.88878735871347,10.627083402510765
rieber_anderson_A,0.5701942102548887,917.6363503316026,11.699999999999989,39.19999999999999,57.13349652375622,16.99326574688153,49.03210914409463,11.328843831254352,53.43791617767535,8.496632873440765
rieber_anderson_B,0.762465717346447,1227.066577554331,9.200000000000017,35.900000000000006,76.43338176517283,22.723455139895016,65.60017786930396,15.148970093263342,71.49163863816631,11.361727569947508
rieber_public_A,0.857657446629202,1380.26243515824,38.0,39.099999999999994,86.07648438247463,25.560415465893332,73.89078503788008,17.04027697726222,80.51777833736072,12.780207732946666
rieber_public_B,1.0099651882284073,1625.377376023505,28.10000000000001,37.10000000000001,101.33507830675833,30.099581037472312,86.98537239488387,20.066387358314877,94.78922527507927,15.049790518736156
deneve_target_A,0.9021572888562076,1451.877811247849,7.200000000000003,29.400000000000006,90.46877631561142,26.886626134219423,77.65081790256083,17.92441742281295,84.62165495624114,13.443313067109711
deneve_target_B,0.9860910091622765,1586.955704685218,7.900000000000006,31.700000000000003,98.8872147475072,29.388068605281816,84.87671602067182,19.59204573685454,92.49609662079354,14.694034302640908
deneve_court_A,0.9009747506204178,1449.974705163463,32.30000000000001,26.5,90.44913051092855,26.851383428953017,77.64797374224241,17.90092228596868,84.60967349641496,13.425691714476509
deneve_court_B,0.5988932932996119,963.8229326387974,16.000000000000014,10.200000000000003,60.12827981204598,17.848572826644396,51.619132435869446,11.899048551096262,56.24669307490894,8.924286413322198
deneve_powell_A,0.7129645656487662,1147.4023940811853,23.299999999999983,25.599999999999994,71.59140926117497,21.248192482984912,61.461523635519754,14.165461655323274,66.97049626543294,10.624096241492456
deneve_powell_B,0.5107357694640837,821.9475032293285,9.999999999999986,10.299999999999997,51.259240792665146,15.22125005980238,44.00264603483964,10.147500039868252,47.949026417061035,7.61062502990119
deneve_anderson_A,0.5938863848251087,955.7651145544404,17.099999999999994,25.599999999999994,59.57994583267288,17.699353973230377,51.141937209568454,11.799569315486917,55.73081020117709,8.849676986615188
deneve_anderson_B,0.5515336201053137,887.6051161802856,2.700000000000017,10.400000000000006,55.32822433184762,16.4371317811164,47.49196884376945,10.958087854077599,51.753588234169754,8.2185658905582
deneve_public_A,0.8813495922623364,1418.3911528114684,43.400000000000006,25.5,88.51971274787427,26.266502829842008,75.99739257097842,17.51100188656134,82.8074516048944,13.133251414921004
deneve_public_B,0.8075359429273313,1299.5998943906714,21.500000000000014,11.500000000000014,81.0833146154351,24.06666471093836,69.60974757635532,16.04444314062557,75.84945936793602,12.03333235546918
hedrick_target_A,1.2196694779947732,1962.8628777161082,9.400000000000006,62.60000000000001,122.23088054054803,36.3493125502983,104.90167105599663,24.2328750335322,114.32587822637629,18.17465627514915
hedrick_target_B,1.2896228916771906,2075.44170449177,9.300000000000011,64.10000000000001,129.24462807044668,38.43410563873648,110.92151213686687,25.622737092490986,120.886239074866,19.21705281936824
hedrick_court_A,0.978384936434425,1574.5540136013774,22.000000000000014,47.2,98.1096525484871,29.158407659284766,84.20864262252229,19.438938439523174,91.7684795289077,14.579203829642383
hedrick_court_B,0.9024252072547098,1452.3089830432946,17.40000000000002,42.60000000000001,90.48570737012743,26.894610797098046,77.6639423405006,17.929740531398696,84.6368495603512,13.447305398549023
hedrick_powell_A,0.7903719088991833,1271.9771278678115,13.199999999999989,46.5,79.21166970478049,23.555131997552063,67.98197130932928,15.703421331701376,74.0890591273834,11.777565998776032
hedrick_powell_B,0.8142676519789979,1310.4335030358804,11.399999999999991,42.7,81.61665411560459,24.267287093257046,70.04744215103469,16.178191395504697,76.33916887113348,12.133643546628523
hedrick_anderson_A,0.671296849255179,1080.3448713803296,7.0,46.5,67.23913773464231,20.00638650704314,57.70127199564891,13.337591004695424,62.88828429229591,10.00319325352157
hedrick_anderson_B,0.855065521367484,1376.0911461575467,4.100000000000023,42.80000000000001,85.68565327862625,25.483169373287904,73.53678031744047,16.988779582191935,80.14374619057544,12.741584686643952
hedrick_public_A,0.9587600856294778,1542.9709562069438,33.400000000000006,46.5,96.18206629355876,28.573536226054514,82.55988858963258,19.04902415070301,89.96808715217942,14.286768113027257
hedrick_public_B,1.1110678256275446,1788.0858944954325,23.000000000000014,44.000000000000014,111.44072253650135,33.112701749915416,95.65453828804448,22.07513449994361,104.23959641893427,16.556350874957708
